filename,condition,primacy-recency,side bias,safe bias,inverse temperature,curvature for gains,curvature for losses,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_16h04.55.930.csv,sub_final,1.204577487,-0.152484447,-0.285023017,0.040332494,0.93936946,0.95616537,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_16h29.54.288.csv,sub_final,1.112624633,0.473025372,-1.239361453,0.02553143,7.60E-06,0.26927028,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_16h34.48.814.csv,sub_final,1.093462161,-0.482048354,-0.216200074,0.054472929,0.862423649,0.762782236,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_17h08.39.86.csv,sub_final,1.213090083,-0.109061723,-1.568981629,0.042895348,0.672307479,1.58E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_17h24.57.1.csv,sub_final,0.949739424,0.268099563,0.257609826,0.040328853,8.96E-07,0.832835524,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_17h39.33.279.csv,sub_final,1.618204311,-0.235431229,-0.954475204,0.019493444,0.141869492,1.40E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_17h58.41.694.csv,sub_final,1.275455866,-0.010920062,-1.057260248,0.014129092,0.731754694,0.819711909,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_17h59.50.713.csv,sub_final,1.252733859,-0.024178566,-0.456703125,0.021813447,0.73913179,2.02E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_18h10.33.321.csv,sub_final,0.977037477,-0.145549541,-0.325594703,0.027796674,0.572658964,0.706654145,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_19h58.26.96.csv,sub_final,1.296378166,0.095952372,-0.734555507,0.020604235,0.263200695,5.19E-07,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_20h37.15.845.csv,sub_final,0.663923729,-0.034326153,-0.991132742,0.008150347,0.000131614,6.00E-06,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_21h35.04.579.csv,sub_final,1.490803116,0.401753897,-0.975074895,0.029382179,0.492213367,0.515342182,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_21h48.50.497.csv,sub_final,1.229557478,-0.167547165,0.087150298,0.01504988,2.63E-05,1.96E-05,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_22h01.29.986.csv,sub_final,1.07483324,-0.235270664,-0.721643986,0.010360049,3.02E-06,0.483272324,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_22h08.27.540.csv,sub_final,1.274579394,-0.013929705,-0.382351742,0.011314807,1.49E-06,0.89879435,
FLAGTASK_PARTICIPANT_SESSION_2022-04-15_22h24.39.305.csv,sub_final,0.961016749,0.057974394,-0.368000589,0.029180581,0.605589678,0.061104782,
